City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
257,Avera,US,2021-10-05 17:34:19,33.194,-82.5271,84.07,73,100,5.88
258,Milos,GR,2021-10-05 17:34:19,36.75,24.4333,65.12,60,0,21.18
259,Kasongo-Lunda,CD,2021-10-05 17:34:20,-6.4667,16.8167,72.32,83,72,2.24
260,Tevaitoa,PF,2021-10-05 17:34:20,-16.7833,-151.5,77.56,72,43,15.1
261,Khandyga,RU,2021-10-05 17:34:20,62.6667,135.6,26.65,98,100,4.0
262,Ilorin,NG,2021-10-05 17:34:21,8.5,4.55,82.67,70,71,4.07
263,Beringovskiy,RU,2021-10-05 17:34:21,63.05,179.3167,34.05,98,100,14.34
264,Lourdes,FR,2021-10-05 17:34:21,43.1,-0.05,62.94,94,75,11.5
265,Yulara,AU,2021-10-05 17:34:22,-25.2406,130.9889,76.84,18,99,9.22
266,Chapais,CA,2021-10-05 17:33:01,49.7834,-74.8492,60.58,45,0,4.18
267,Chandrapur,IN,2021-10-05 17:31:48,19.95,79.3,79.2,85,98,2.68
268,Bhuj,IN,2021-10-05 17:34:22,23.2667,69.6667,82.11,72,4,5.79
269,Asau,RO,2021-10-05 17:34:23,46.4333,26.4,50.76,58,0,1.48
270,Santona,ES,2021-10-05 17:34:23,43.4439,-3.4576,63.07,82,100,11.68
271,Marsh Harbour,BS,2021-10-05 17:34:23,26.5412,-77.0636,82.38,72,14,10.16
272,Libertador General San Martin,AR,2021-10-05 17:34:24,-23.8064,-64.7876,77.97,27,98,7.2
273,Broome,US,2021-10-05 17:34:24,42.2506,-75.833,69.55,75,90,1.99
274,Bow Island,CA,2021-10-05 17:34:24,49.8668,-111.3684,80.62,27,56,4.61
275,Opuwo,NA,2021-10-05 17:34:25,-18.0607,13.84,76.06,15,23,10.49
276,Te Anau,NZ,2021-10-05 17:34:25,-45.4167,167.7167,46.69,95,98,1.21
277,Brigantine,US,2021-10-05 17:34:25,39.4101,-74.3646,69.17,96,90,10.36
278,Bonavista,CA,2021-10-05 17:34:25,48.6499,-53.1147,50.11,72,100,29.01
279,Torbay,CA,2021-10-05 17:34:26,47.6666,-52.7314,50.58,83,90,25.32
280,Leshan,CN,2021-10-05 17:34:26,29.5623,103.7639,65.28,92,100,1.95
281,Freeport,US,2021-10-05 17:34:09,40.6576,-73.5832,67.01,71,90,3.0
282,Tazovskiy,RU,2021-10-05 17:34:27,67.4667,78.7,40.55,94,100,19.64
283,Caravelas,BR,2021-10-05 17:34:27,-17.7125,-39.2481,82.02,65,19,11.79
284,Balakhninskiy,RU,2021-10-05 17:34:27,58.0106,114.2769,30.61,87,87,2.42
285,Barcarena,BR,2021-10-05 17:33:18,-1.5058,-48.6258,86.05,69,96,6.98
286,Turayf,SA,2021-10-05 17:34:28,31.6725,38.6637,77.25,36,0,4.61
287,Bambous Virieux,MU,2021-10-05 17:34:28,-20.3428,57.7575,73.22,88,40,4.61
288,Springbok,ZA,2021-10-05 17:34:28,-29.6643,17.8865,60.62,28,9,4.88
289,Ibresi,RU,2021-10-05 17:34:29,55.2961,47.0394,35.53,69,29,3.06
290,Voskresenskoye,RU,2021-10-05 17:34:29,56.8381,45.4317,36.48,68,12,3.85
291,Peterhead,GB,2021-10-05 17:34:29,57.5058,-1.7981,51.12,90,100,19.6
292,Ayagoz,KZ,2021-10-05 17:34:30,47.9714,80.4392,32.25,88,78,10.29
293,Santiago Tuxtla,MX,2021-10-05 17:34:30,18.4667,-95.3,78.93,85,100,8.88
